약물번호,한글명,영문명,분류/구분,이화학정보,남용정보,약물정보
N25,테바인,Thebaine,마약,"Thebaine은 유도체로 지방 친화력이 대단히 크며, morphine과 비슷한 진통작용이 있으나 그 강도는 25~50배나 되며 μ-수용체의 부분에 작용한다. 작용 지속시간은 약간 길고, 호흡억제효과는 천천히 나타나서 오래 지속된다. 즉 근육주사를 하면 호흡억제는 그 작용이 3시간후에 가장 심하며 축동현상은 6시간후에 가장 강하게 나타난다.
Buprenorphine은 morphine 유사약물에 의존성이 생긴 환자에서 금단증상을 유발할수 있으며 또한 대량을 반복 사용하면 그 자체에 대해 육체적 의존성이 생긴다. 대부분의 투여경로를 통해서 흡수가 잘 되므로 수술 후 통증을 없애기 위해 설하투여도 한다. 흡수된Buprenorphine의 약 96%는 혈장단백과 결합을 하며 대부분은 그대로 대변을 통해 배설되나 미량만이 간장에서 대사되어 소변으로 배설된다. 진정, 오심, 구토, 졸음, 발한 및 두통이 흔히 보이는 부작용이며 장기간 반복 사용하면 내성과 육체적 의존성이 생기며 이때 투약을 중지하면 morphine과 비슷한 금단중상을 나타낸다.
제제로는 Buprenorphine HCl 0.3㎎/㎖ 주사액이 있으며 보통 0.3~0.6㎎을 6~8시간마다 투여한다.","중추신경을 흥분하며, 경련을 유발한다.",
N24,테바콘,Thebacon,마약,,,
N23,옥시모르폰,Oxymorphone,마약,6-keto 그룹이 환원대사되어 6-oxymorphol로 형태로 된다. 대사체는 glucuronide 포합체를 형성하여 뇨 배설된다.,"졸음이 오며, 호흡장애를 일으킨다.",
N22,옥시코돈,Oxycodone,마약,"간으로 대사되며, 소변으로 배설된다.","저혈압, 피로, 졸리움, 현기증, 오심, 구토, 근신경 및 골격계 쇠약, 신경과민, 두통, 불안, 불쾌감, 혼동, 식욕부진, 위경련, xerostomia, 변비, 담관 경련, 요로 경련, 요량 감소, 호흡곤란, 숨가쁨","옥시코돈은 암환자나 만성통증환자의 통증 치료용으로 사용하는데, 체내에 서서히 녹아 12시간 진통효과가 지속되도록 정제형태로 제조됐으나, 미국에서 마약대용으로 이를 갈아서 흡입하거나 물에 타 주사제로 사용하면서 각종 부작용으로 사망자가 속출한 사례가 있다."
N21,노르모르핀,Normorphine,마약,"모르핀이 N-demethylation 된 산화 대사체이다.  Glucuronide 포합이 일어나, normorphine-3-glucuronide로 대사되어 뇨로 배설된다.",대체로 모르핀과 유사,
N20,니코모르핀,Nicomorphine,마약,,,
N19,니코디코딘,Nicodicodine,마약,,,
N18,미로핀,Myrophine,마약,,,
N17,모르핀-엔-옥사이드,Morphine-N-oxide,마약,체내에서 glucuronide 포합이 일어나 뇨로 배설된다.,모르핀과 동일,
N16,모르핀,Morphine,마약,"간에서 glucuronide 포합 대사되며, 반감기는 신생아는 4.5-13.3 시간 (평균 7.6 시간), 성인은 2-4 시간이며, 미변화체로 신배설된다.","항이뇨호르몬(ADH) 분비, 홍조, 중추신경계 억제, 졸음, 진정, 뇌압상승, 육체적, 정신적 의존성, 발한, 주사부위의 통증, 근신경 및 골격계 쇠약, 심계항진, 저혈압, 서맥, 오심, 구토, 변비, 구갈,  현기(dizziness), Histamine 유리, 근신경 및 골격계 떨림, 시각장애, 배뇨곤란,  식욕부진, 위장관 자극, 구갈, 마비성 장폐색, 초조, 두통, 잘못된 행복감, 혼동, 호흡억제, 단호흡",
N15,메토폰,Metopon,마약,"빠른 초회통과대사를 받으며, 간에서 glucuronide 포합체로 뇨 배설된다.",대체로 모르핀과 유사,
N14,메칠디히드로모르핀,Methyldihydromorphine,마약,"체내에서 디히드로모르핀, 모르핀으로  전환된다. 그 대사체는 glucuronide 포합이 일어나 뇨로 배설된다.",대체로 모르핀과 유사,
N13,메칠데소르핀,Methyldesorphine,마약,,,
N12,히드로모르폰,Hydromorphone,마약,"24 시간동안 약 6%의 약이 유리형으로 배설되며, 30%가 hydromorphone의 포합체으로 배설된다. 뇨로 배설되며, 6-alpha와 6-beta-hydroxy 포합체만이 반응 생성물로 존재한다.","진정, 졸음, 정신혼탁, 기면상태, 정신적·육체적 수행 장애, 갈망, 두려움, 불쾌감, 정신적 의존성, 감정변화, 기립성저혈압, 뇨폐, 오심, 구토 등",
N11,히드로모르피놀,Hydromorphinol,마약,,,
N107,레미펜타닐,Remifentanil,마약,,,
N106,엠피피피,MPPP,마약,,,
N105,피이피에이피,PEPAP,마약,,,
N104,서펜타닐,Sufentanil,마약,,"서맥, 저혈압, 오심, 구토, 졸음, 호흡억제, 시야몽롱, 심부정맥, 기립성 저혈압, 담도경련, 혼동, 중추신경계 억제, 순환계 허탈, 경련, 감각이상, 역설적 중추신경계 흥분 또는 섬망, 의식저하, 어지러움, 발진, 두드러기, 가려움, 기관지 수축, 후두경련, 차고 창백한 피부, 담도 및 요도경련, 장기간 사용시 육체적, 정신적 의존성",
N103,3-메칠펜타닐,3-Methylfentanyl,마약,,,
N102,알파-메칠펜타닐,Alpha-methylfentanyl,마약,,,
N101,아세틸-알파-메칠펜타닐,Acetyl-alpha-methylfentanyl,마약,,,
N100,프로폭시펜,Propoxyphene,마약,,"부작용으로는 현기증, 진정작용, 매스꺼움, 구토, 복부의 통증, 두통, 환각, 다소 시각적인 장애가 있다. 알레르기 반응을 보이는 사람은  발진, 종기, 호흡곤란을 일으킨다.",
N10,히드로코돈,Hydrocodone,마약,"Hydrocodone 는 O- 와 N-의 demethyl화로 대사된다. 6-keto 그룹이 환원된다. 72 시간까지 약 26%가 뇨로 배설되는데, 그 중 12%는 미대사체이고, 나머지는 5% norhydrocodone, 4% conjugated hydrocodone, 3% 6-hydrocodol와 0.1%의 conjugated 6-hydromorphol이다.",,
N09,헤로인,Heroin,마약,"체내에서 모르핀으로 전환되며, 거의 모든 조직(혈액, 간, 신장, 뇨, 뇌, 폐, 위 등)으로 잘 분포된다. 대부분 간에서 대사되어 뇨, 변, 담즙 등으로 배설된다.",헤로인은 아편이나 모르핀과 마찬가지로 수면이나 정신적 공허감을 일으킨다. 약효가 강해서 소량으로도 충분한 반응을 얻을 수 있으나 지속시간이 짧다. 중독자는 4~6 시간 후면 재투약을 갈망하게 된다.,"헤로인과 모르핀은 주로 주사로 복용 되나 아편과 같이 흡연하기도하고 코점막으로 흡입하기도 하는반면, 아편은 흡연하거나 코점막을 통해 snort한다. Codeine, Oxycodone과 hydrocodone은 경구로 투여되나 다른 opioid는 주사로 투여된다."
N08,에토르핀,Etorphine,마약,,,
N07,에크고닌,Ecgonine,마약,"간 및 혈액내 에서 대사되며, 투여 후 3~21 시간 후 제거된다.",코카인과 동일,
N06,디히드로모르핀,Dihydromorphine,마약,간에서 glucuronide 포합 대사되어 뇨로 배설된다.,대체로 모르핀과 유사,
